appearance_id,book_id,book_slug,title,authors,publication_year,award_id,award_program,award_category,award_year,status,original_status,is_tie,primary_subject,publisher,imprint,isbn13,source_url,source_confidence
appearance-volcker-the-triumph-of-persistence-william-l-silber-ft-business-book-of-the-year-2012-shortlist,book-volcker-the-triumph-of-persistence-william-l-silber,volcker-the-triumph-of-persistence-william-l-silber,Volcker: The Triumph of Persistence,William L. Silber,2013,award-ft-business-book-of-the-year,FT Business Book of the Year,Business Book of the Year,2012,shortlist,shortlist,false,Biography,Bloomsbury Publishing,Bloomsbury,9781620402924,https://en.wikipedia.org/wiki/Financial_Times_Business_Book_of_the_Year_Award,secondary
appearance-what-money-can-t-buy-the-moral-limits-of-markets-michael-j-sandel-ft-business-book-of-the-year-2012-shortlist,book-what-money-can-t-buy-the-moral-limits-of-markets-michael-j-sandel,what-money-can-t-buy-the-moral-limits-of-markets-michael-j-sandel,What Money Can't Buy: The Moral Limits Of Markets,Michael J. Sandel,2012,award-ft-business-book-of-the-year,FT Business Book of the Year,Business Book of the Year,2012,shortlist,shortlist,false,Business & Economics,Macmillan,"Farrar, Straus and Giroux",9780374203030,https://en.wikipedia.org/wiki/Financial_Times_Business_Book_of_the_Year_Award,secondary
appearance-why-nations-fail-the-origins-of-power-prosperity-and-poverty-daron-acemoglu-and-james-a-robinson-ft-business-book-of-the-year-2012-shortlist,book-why-nations-fail-the-origins-of-power-prosperity-and-poverty-daron-acemoglu-and-james-a-robinson,why-nations-fail-the-origins-of-power-prosperity-and-poverty-daron-acemoglu-and-james-a-robinson,"Why Nations Fail: The Origins of Power, Prosperity and Poverty",Daron Acemoglu; James A. Robinson,2012,award-ft-business-book-of-the-year,FT Business Book of the Year,Business Book of the Year,2012,shortlist,shortlist,false,Politics & Government,Profile Books,Profile Books,9781846684296,https://en.wikipedia.org/wiki/Financial_Times_Business_Book_of_the_Year_Award,secondary
appearance-quagmire-nation-building-and-nature-in-the-mekong-delta-david-biggs-george-perkins-marsh-prize-environmental-history-2012-winner,book-quagmire-nation-building-and-nature-in-the-mekong-delta-david-biggs,quagmire-nation-building-and-nature-in-the-mekong-delta-david-biggs,Quagmire: Nation-Building and Nature in the Mekong Delta,David Biggs,2011,award-george-perkins-marsh-prize-environmental-history,George Perkins Marsh Prize,Environmental History,2012,winner,winner,false,Nature & Environment,,,9786162150197,https://www.aseh.org/past-recipients,official
appearance-clothed-in-robes-of-sovereignty-the-continental-congress-and-the-people-out-of-doors-benjamin-h--george-washington-prize-founding-era-2012-finalist,book-clothed-in-robes-of-sovereignty-the-continental-congress-and-the-people-out-of-doors-benjamin-h-,clothed-in-robes-of-sovereignty-the-continental-congress-and-the-people-out-of-doors-benjamin-h-,Clothed in Robes of Sovereignty: The Continental Congress and the People Out of Doors,Benjamin H. Irvin,2011,award-george-washington-prize-founding-era,George Washington Prize,Founding Era,2012,finalist,finalist,false,War & Military,Oxford University Press,Oxford University Press,9780199314591,https://en.wikipedia.org/wiki/George_Washington_Book_Prize,secondary
appearance-liberty-s-exiles-american-loyalists-in-the-revolutionary-world-maya-jasanoff-george-washington-prize-founding-era-2012-winner,book-liberty-s-exiles-american-loyalists-in-the-revolutionary-world-maya-jasanoff,liberty-s-exiles-american-loyalists-in-the-revolutionary-world-maya-jasanoff,Liberty's Exiles: American Loyalists in the Revolutionary World,Maya Jasanoff,2011,award-george-washington-prize-founding-era,George Washington Prize,Founding Era,2012,winner,winner,false,American History,Penguin Random House,Knopf,9781400075478,https://en.wikipedia.org/wiki/George_Washington_Book_Prize,secondary
appearance-was-america-founded-as-a-christian-nation-a-historical-introduction-john-fea-george-washington-prize-founding-era-2012-finalist,book-was-america-founded-as-a-christian-nation-a-historical-introduction-john-fea,was-america-founded-as-a-christian-nation-a-historical-introduction-john-fea,Was America Founded As A Christian Nation?: A Historical Introduction,John Fea,2011,award-george-washington-prize-founding-era,George Washington Prize,Founding Era,2012,finalist,finalist,false,Religion,,,9780664235048,https://en.wikipedia.org/wiki/George_Washington_Book_Prize,secondary
appearance-lincoln-and-the-border-states-preserving-the-union-william-c-harris-gilder-lehrman-lincoln-prize-civil-war-era-2012-co-winner,book-lincoln-and-the-border-states-preserving-the-union-william-c-harris,lincoln-and-the-border-states-preserving-the-union-william-c-harris,Lincoln and the Border States: Preserving the Union,William C. Harris,2011,award-gilder-lehrman-lincoln-prize-civil-war-era,Gilder Lehrman Lincoln Prize,Civil War Era,2012,co_winner,co_winner,true,War & Military,University Press of Kansas,University Press of Kansas,9780700618040,https://www.gettysburg.edu/lincoln-prize/previous-winners/#prize-2012,official
appearance-lincoln-s-forgotten-ally-judge-advocate-general-joseph-holt-of-kentucky-elizabeth-d-leonard-gilder-lehrman-lincoln-prize-civil-war-era-2012-co-winner,book-lincoln-s-forgotten-ally-judge-advocate-general-joseph-holt-of-kentucky-elizabeth-d-leonard,lincoln-s-forgotten-ally-judge-advocate-general-joseph-holt-of-kentucky-elizabeth-d-leonard,Lincoln’s Forgotten Ally: Judge Advocate General Joseph Holt of Kentucky,Elizabeth D. Leonard,2011,award-gilder-lehrman-lincoln-prize-civil-war-era,Gilder Lehrman Lincoln Prize,Civil War Era,2012,co_winner,co_winner,true,Biography,,,9780807835005,https://www.gettysburg.edu/lincoln-prize/previous-winners/#prize-2012,official
appearance-the-won-cause-black-and-white-comradeship-in-the-grand-army-of-the-republic-barbara-a-gannon-gilder-lehrman-lincoln-prize-civil-war-era-2012-honorable-mention,book-the-won-cause-black-and-white-comradeship-in-the-grand-army-of-the-republic-barbara-a-gannon,the-won-cause-black-and-white-comradeship-in-the-grand-army-of-the-republic-barbara-a-gannon,The Won Cause: Black and White Comradeship in the Grand Army of the Republic,Barbara A. Gannon,2011,award-gilder-lehrman-lincoln-prize-civil-war-era,Gilder Lehrman Lincoln Prize,Civil War Era,2012,honorable_mention,honorable_mention,false,Race & Ethnicity,,,,https://www.gettysburg.edu/lincoln-prize/previous-winners/#prize-2012,official
