appearance_id,book_id,book_slug,title,authors,publication_year,award_id,award_program,award_category,award_year,status,original_status,is_tie,primary_subject,publisher,imprint,isbn13,source_url,source_confidence
appearance-ogallala-water-for-a-dry-land-john-opie-george-perkins-marsh-prize-environmental-history-1995-co-winner,book-ogallala-water-for-a-dry-land-john-opie,ogallala-water-for-a-dry-land-john-opie,Ogallala: Water for a Dry Land,John Opie,1993,award-george-perkins-marsh-prize-environmental-history,George Perkins Marsh Prize,Environmental History,1995,co_winner,co_winner,true,History,,,9780803235571,https://www.aseh.org/past-recipients,official
appearance-andersonville-the-last-depot-william-marvel-gilder-lehrman-lincoln-prize-civil-war-era-1995-finalist,book-andersonville-the-last-depot-william-marvel,andersonville-the-last-depot-william-marvel,Andersonville: The Last Depot,William Marvel,1994,award-gilder-lehrman-lincoln-prize-civil-war-era,Gilder Lehrman Lincoln Prize,Civil War Era,1995,finalist,finalist,false,War & Military,,,,https://www.gettysburg.edu/lincoln-prize/previous-winners/#prize-1995,official
appearance-bond-of-iron-master-and-slave-at-buffalo-forge-charles-b-dew-gilder-lehrman-lincoln-prize-civil-war-era-1995-finalist,book-bond-of-iron-master-and-slave-at-buffalo-forge-charles-b-dew,bond-of-iron-master-and-slave-at-buffalo-forge-charles-b-dew,Bond of Iron: Master and Slave at Buffalo Forge,Charles B. Dew,1994,award-gilder-lehrman-lincoln-prize-civil-war-era,Gilder Lehrman Lincoln Prize,Civil War Era,1995,finalist,finalist,false,American History,,,,https://www.gettysburg.edu/lincoln-prize/previous-winners/#prize-1995,official
appearance-the-presidency-of-abraham-lincoln-phillip-shaw-paludan-gilder-lehrman-lincoln-prize-civil-war-era-1995-winner,book-the-presidency-of-abraham-lincoln-phillip-shaw-paludan,the-presidency-of-abraham-lincoln-phillip-shaw-paludan,The Presidency of Abraham Lincoln,Phillip Shaw Paludan,1994,award-gilder-lehrman-lincoln-prize-civil-war-era,Gilder Lehrman Lincoln Prize,Civil War Era,1995,winner,winner,false,War & Military,University Press of Kansas,University Press of Kansas,,https://www.gettysburg.edu/lincoln-prize/previous-winners/#prize-1995,official
appearance-les-deux-guitry-henry-gidel-lucien-and-sacha-goncourt-prize-for-biography-1995-winner,book-les-deux-guitry-henry-gidel-lucien-and-sacha,les-deux-guitry-henry-gidel-lucien-and-sacha,Les Deux Guitry,Henry Gidel (Lucien; Sacha),,award-goncourt-prize-for-biography,Goncourt Prize for Biography,Biography,1995,winner,winner,false,Biography,,,,https://fr.wikipedia.org/wiki/Prix_Goncourt_de_la_biographie,secondary
appearance-leaning-on-the-wind-sid-marty-governor-general-s-literary-awards-english-language-non-fiction-1995-finalist,book-leaning-on-the-wind-sid-marty,leaning-on-the-wind-sid-marty,Leaning on the Wind,Sid Marty,,award-governor-general-s-literary-awards-english-language-non-fiction,Governor General's Literary Awards,English-language Non-fiction,1995,finalist,finalist,false,Nature & Environment,,,,https://en.wikipedia.org/wiki/Governor_General%27s_Award_for_English-language_non-fiction,secondary
appearance-shadow-maker-the-life-of-gwendolyn-macewen-rosemary-sullivan-governor-general-s-literary-awards-english-language-non-fiction-1995-winner,book-shadow-maker-the-life-of-gwendolyn-macewen-rosemary-sullivan,shadow-maker-the-life-of-gwendolyn-macewen-rosemary-sullivan,Shadow Maker: The Life of Gwendolyn MacEwen,Rosemary Sullivan,,award-governor-general-s-literary-awards-english-language-non-fiction,Governor General's Literary Awards,English-language Non-fiction,1995,winner,winner,false,Biography,,,,https://en.wikipedia.org/wiki/Governor_General%27s_Award_for_English-language_non-fiction,secondary
appearance-shooting-the-hippo-linda-mcquaig-governor-general-s-literary-awards-english-language-non-fiction-1995-finalist,book-shooting-the-hippo-linda-mcquaig,shooting-the-hippo-linda-mcquaig,Shooting the Hippo,Linda McQuaig,,award-governor-general-s-literary-awards-english-language-non-fiction,Governor General's Literary Awards,English-language Non-fiction,1995,finalist,finalist,false,Politics & Government,,,,https://en.wikipedia.org/wiki/Governor_General%27s_Award_for_English-language_non-fiction,secondary
appearance-the-last-house-of-ulster-a-family-in-belfast-charles-foran-governor-general-s-literary-awards-english-language-non-fiction-1995-finalist,book-the-last-house-of-ulster-a-family-in-belfast-charles-foran,the-last-house-of-ulster-a-family-in-belfast-charles-foran,The Last House of Ulster: A Family in Belfast,Charles Foran,,award-governor-general-s-literary-awards-english-language-non-fiction,Governor General's Literary Awards,English-language Non-fiction,1995,finalist,finalist,false,Society & Culture,,,,https://en.wikipedia.org/wiki/Governor_General%27s_Award_for_English-language_non-fiction,secondary
appearance-a-piece-of-the-action-how-the-middle-class-joined-the-money-class-joseph-nocera-helen-bernstein-book-award-for-excellence-in-journalism-1995-winner,book-a-piece-of-the-action-how-the-middle-class-joined-the-money-class-joseph-nocera,a-piece-of-the-action-how-the-middle-class-joined-the-money-class-joseph-nocera,A Piece of the Action: How the Middle Class Joined the Money Class,Joseph Nocera,1995,award-helen-bernstein-book-award-for-excellence-in-journalism,Helen Bernstein Book Award for Excellence in Journalism,Journalism,1995,winner,winner,false,Business & Economics,Simon & Schuster,Simon & Schuster,9780684804354,https://en.wikipedia.org/wiki/Helen_Bernstein_Book_Award_for_Excellence_in_Journalism,secondary
appearance-city-on-a-hill-testing-the-american-dream-at-city-college-james-traub-hillman-prize-for-book-journalism-1995-winner,book-city-on-a-hill-testing-the-american-dream-at-city-college-james-traub,city-on-a-hill-testing-the-american-dream-at-city-college-james-traub,City on a Hill: Testing the American Dream at City College,James Traub,1995,award-hillman-prize-for-book-journalism,Hillman Prize for Book Journalism,Book Journalism,1995,winner,winner,false,Society & Culture,Perseus Books,Perseus Books,9780201489422,http://www.amazon.com/City-Hill-Testing-American-College/dp/0201489422,official
appearance-the-book-of-food-frances-bissell-james-beard-foundation-book-awards-reference-history-and-scholarship-1995-winner,book-the-book-of-food-frances-bissell,the-book-of-food-frances-bissell,The Book of Food,Frances Bissell,1994,award-james-beard-foundation-book-awards-reference-history-and-scholarship,James Beard Foundation Book Awards,"Reference, History, and Scholarship",1995,winner,winner,false,History,Macmillan,Henry Holt and Company,,https://en.wikipedia.org/wiki/James_Beard_Foundation_Award:_1990s,secondary
appearance-treasures-of-the-italian-table-burton-anderson-james-beard-foundation-book-awards-writing-and-literature-1995-winner,book-treasures-of-the-italian-table-burton-anderson,treasures-of-the-italian-table-burton-anderson,Treasures of the Italian Table,Burton Anderson,1994,award-james-beard-foundation-book-awards-writing-and-literature,James Beard Foundation Book Awards,Writing and Literature,1995,winner,winner,false,Arts & Criticism,HarperCollins,William Morrow,,https://en.wikipedia.org/wiki/James_Beard_Foundation_Award:_1990s,secondary
appearance-albert-speer-his-battle-with-the-truth-gitta-sereny-james-tait-black-prizes-biography-1995-winner,book-albert-speer-his-battle-with-truth-gitta-sereny,albert-speer-his-battle-with-truth-gitta-sereny,Albert Speer: His Battle with Truth,Gitta Sereny,1995,award-james-tait-black-prizes-biography,James Tait Black Prizes,Biography,1995,winner,winner,false,Biography,Penguin Random House,Knopf,,https://james-tait-black.ed.ac.uk/winners/biography,official
appearance-into-africa-craig-packer-john-burroughs-medal-1995-winner,book-into-africa-craig-packer,into-africa-craig-packer,Into Africa,Craig Packer,,award-john-burroughs-medal,John Burroughs Medal,John Burroughs Medal,1995,winner,winner,false,Science,,,9780226055992,https://en.wikipedia.org/wiki/John_Burroughs_Medal,secondary
appearance-the-age-of-extremes-the-short-20th-century-1914-1991-eric-hobsbawm-lionel-gelber-prize-international-affairs-1995-winner,book-the-age-of-extremes-the-short-20th-century-1914-1991-eric-hobsbawm,the-age-of-extremes-the-short-20th-century-1914-1991-eric-hobsbawm,"The Age of Extremes: The Short 20th Century, 1914–1991",Eric Hobsbawm,1994,award-lionel-gelber-prize-international-affairs,Lionel Gelber Prize,International Affairs,1995,winner,winner,false,World History,Penguin Random House,Vintage Books,9780679730057,https://en.wikipedia.org/wiki/Lionel_Gelber_Prize,secondary
appearance-d-h-lawrence-the-story-of-a-marriage-brenda-maddox-los-angeles-times-book-prize-for-biography-1995-finalist,book-d-h-lawrence-the-story-of-a-marriage-brenda-maddox,d-h-lawrence-the-story-of-a-marriage-brenda-maddox,D.H. Lawrence: The Story of a Marriage,Brenda Maddox,1994,award-los-angeles-times-book-prize-for-biography,Los Angeles Times Book Prize,Biography,1995,finalist,finalist,false,Biography,Simon & Schuster,Simon & Schuster,9780671687120,https://en.wikipedia.org/wiki/Los_Angeles_Times_Book_Prize_for_Biography,secondary
appearance-drinking-the-rain-a-memoir-alix-kates-shulman-los-angeles-times-book-prize-for-biography-1995-finalist,book-drinking-the-rain-a-memoir-alix-kates-shulman,drinking-the-rain-a-memoir-alix-kates-shulman,Drinking the Rain: A Memoir,Alix Kates Shulman,1995,award-los-angeles-times-book-prize-for-biography,Los Angeles Times Book Prize,Biography,1995,finalist,finalist,false,Memoir & Autobiography,Bloomsbury Publishing,Bloomsbury,9780747519980,https://en.wikipedia.org/wiki/Los_Angeles_Times_Book_Prize_for_Biography,secondary
appearance-in-pharaoh-s-army-memories-of-the-lost-war-tobias-wolff-los-angeles-times-book-prize-for-biography-1995-finalist,book-in-pharaoh-s-army-memories-of-the-lost-war-tobias-wolff,in-pharaoh-s-army-memories-of-the-lost-war-tobias-wolff,In Pharaoh's Army: Memories of the Lost War,Tobias Wolff,1994,award-los-angeles-times-book-prize-for-biography,Los Angeles Times Book Prize,Biography,1995,finalist,finalist,false,Memoir & Autobiography,,,9781417719198,https://en.wikipedia.org/wiki/Los_Angeles_Times_Book_Prize_for_Biography,secondary
appearance-marie-curie-a-life-susan-quinn-los-angeles-times-book-prize-for-biography-1995-finalist,book-marie-curie-a-life-susan-quinn,marie-curie-a-life-susan-quinn,Marie Curie: A Life,Susan Quinn,1995,award-los-angeles-times-book-prize-for-biography,Los Angeles Times Book Prize,Biography,1995,finalist,finalist,false,Biography,Simon & Schuster,Simon & Schuster,9780671675424,https://en.wikipedia.org/wiki/Los_Angeles_Times_Book_Prize_for_Biography,secondary
appearance-under-my-skin-volume-one-of-my-autobiography-to-1949-doris-lessing-los-angeles-times-book-prize-for-biography-1995-winner,book-under-my-skin-volume-one-of-my-autobiography-to-1949-doris-lessing,under-my-skin-volume-one-of-my-autobiography-to-1949-doris-lessing,"Under My Skin: Volume One of My Autobiography, to 1949",Doris Lessing,1994,award-los-angeles-times-book-prize-for-biography,Los Angeles Times Book Prize,Biography,1995,winner,winner,false,Memoir & Autobiography,HarperCollins,HarperCollins,9780060926649,https://en.wikipedia.org/wiki/Los_Angeles_Times_Book_Prize_for_Biography,secondary
appearance-beyond-individualism-how-social-demands-of-the-new-identity-groups-challenge-american-political--los-angeles-times-book-prize-for-current-interest-1995-finalist,book-beyond-individualism-how-social-demands-of-the-new-identity-groups-challenge-american-political-,beyond-individualism-how-social-demands-of-the-new-identity-groups-challenge-american-political-,Beyond Individualism: How Social Demands of the New Identity Groups Challenge American Political and,Michael J. Piore,1995,award-los-angeles-times-book-prize-for-current-interest,Los Angeles Times Book Prize,Current Interest,1995,finalist,finalist,false,Politics & Government,Harvard University Press,Harvard University Press,9780674068971,https://en.wikipedia.org/wiki/Los_Angeles_Times_Book_Prize_for_Current_Interest,secondary
appearance-blue-dreams-korean-americans-and-the-los-angeles-riots-nancy-abelmann-and-john-lie-los-angeles-times-book-prize-for-current-interest-1995-finalist,book-blue-dreams-korean-americans-and-the-los-angeles-riots-nancy-abelmann-and-john-lie,blue-dreams-korean-americans-and-the-los-angeles-riots-nancy-abelmann-and-john-lie,Blue Dreams: Korean Americans and the Los Angeles Riots,Nancy Abelmann; John Lie,,award-los-angeles-times-book-prize-for-current-interest,Los Angeles Times Book Prize,Current Interest,1995,finalist,finalist,false,Race & Ethnicity,,,,https://en.wikipedia.org/wiki/Los_Angeles_Times_Book_Prize_for_Current_Interest,secondary
appearance-growing-up-with-a-single-parent-what-hurts-what-helps-sara-mclanahan-and-gary-sandefur-los-angeles-times-book-prize-for-current-interest-1995-finalist,book-growing-up-with-a-single-parent-what-hurts-what-helps-sara-mclanahan-and-gary-sandefur,growing-up-with-a-single-parent-what-hurts-what-helps-sara-mclanahan-and-gary-sandefur,"Growing Up With a Single Parent: What Hurts, What Helps",Sara McLanahan; Gary Sandefur,,award-los-angeles-times-book-prize-for-current-interest,Los Angeles Times Book Prize,Current Interest,1995,finalist,finalist,false,Society & Culture,Harvard University Press,Harvard University Press,9780974371542,https://en.wikipedia.org/wiki/Los_Angeles_Times_Book_Prize_for_Current_Interest,secondary
appearance-life-on-the-color-line-the-true-story-of-a-white-boy-who-discovered-he-was-black-gregory-howard--los-angeles-times-book-prize-for-current-interest-1995-winner,book-life-on-the-color-line-the-true-story-of-a-white-boy-who-discovered-he-was-black-gregory-howard-,life-on-the-color-line-the-true-story-of-a-white-boy-who-discovered-he-was-black-gregory-howard-,Life on the Color Line: The True Story of a White Boy Who Discovered He Was Black,Gregory Howard Williams,1995,award-los-angeles-times-book-prize-for-current-interest,Los Angeles Times Book Prize,Current Interest,1995,winner,winner,false,Memoir & Autobiography,Penguin Random House,Penguin Press,9780329042905,https://en.wikipedia.org/wiki/Los_Angeles_Times_Book_Prize_for_Current_Interest,secondary
appearance-we-the-jury-the-jury-system-and-the-ideal-of-democracy-jeffrey-abramson-los-angeles-times-book-prize-for-current-interest-1995-finalist,book-we-the-jury-the-jury-system-and-the-ideal-of-democracy-jeffrey-abramson,we-the-jury-the-jury-system-and-the-ideal-of-democracy-jeffrey-abramson,"We, the Jury: The Jury System and the Ideal of Democracy",Jeffrey Abramson,1995,award-los-angeles-times-book-prize-for-current-interest,Los Angeles Times Book Prize,Current Interest,1995,finalist,finalist,false,Politics & Government,Hachette Book Group,Basic Books,9780465091164,https://en.wikipedia.org/wiki/Los_Angeles_Times_Book_Prize_for_Current_Interest,secondary
appearance-fables-of-abundance-a-cultural-history-of-advertising-in-america-jackson-lears-los-angeles-times-book-prize-for-history-1995-winner,book-fables-of-abundance-a-cultural-history-of-advertising-in-america-jackson-lears,fables-of-abundance-a-cultural-history-of-advertising-in-america-jackson-lears,Fables of Abundance: A Cultural History of Advertising in America,Jackson Lears,1994,award-los-angeles-times-book-prize-for-history,Los Angeles Times Book Prize,History,1995,winner,winner,false,American History,Hachette Book Group,Basic Books,,https://en.wikipedia.org/wiki/Los_Angeles_Times_Book_Prize_for_History,secondary
appearance-marketing-modernism-in-fin-de-siecle-europe-robert-jensen-los-angeles-times-book-prize-for-history-1995-finalist,book-marketing-modernism-in-fin-de-siecle-europe-robert-jensen,marketing-modernism-in-fin-de-siecle-europe-robert-jensen,Marketing Modernism in Fin-de-Siècle Europe,Robert Jensen,,award-los-angeles-times-book-prize-for-history,Los Angeles Times Book Prize,History,1995,finalist,finalist,false,Arts & Criticism,Princeton University Press,Princeton University Press,9780691241951,https://en.wikipedia.org/wiki/Los_Angeles_Times_Book_Prize_for_History,secondary
appearance-rewriting-the-soul-multiple-personality-and-the-sciences-of-memory-ian-hacking-los-angeles-times-book-prize-for-history-1995-finalist,book-rewriting-the-soul-multiple-personality-and-the-sciences-of-memory-ian-hacking,rewriting-the-soul-multiple-personality-and-the-sciences-of-memory-ian-hacking,Rewriting the Soul: Multiple Personality and the Sciences of Memory,Ian Hacking,1995,award-los-angeles-times-book-prize-for-history,Los Angeles Times Book Prize,History,1995,finalist,finalist,false,Society & Culture,Princeton University Press,Princeton University Press,9780691059082,https://en.wikipedia.org/wiki/Los_Angeles_Times_Book_Prize_for_History,secondary
appearance-speak-now-against-the-day-the-generation-before-the-civil-rights-movement-in-the-south-john-eger-los-angeles-times-book-prize-for-history-1995-finalist,book-speak-now-against-the-day-the-generation-before-the-civil-rights-movement-in-the-south-john-eger,speak-now-against-the-day-the-generation-before-the-civil-rights-movement-in-the-south-john-eger,Speak Now Against the Day: The Generation Before the Civil Rights Movement in the South,John Egerton,1994,award-los-angeles-times-book-prize-for-history,Los Angeles Times Book Prize,History,1995,finalist,finalist,false,American History,Penguin Random House,Knopf,,https://en.wikipedia.org/wiki/Los_Angeles_Times_Book_Prize_for_History,secondary
appearance-stalin-and-the-bomb-the-soviet-union-and-atomic-energy-1939-1956-david-holloway-los-angeles-times-book-prize-for-history-1995-finalist,book-stalin-and-the-bomb-the-soviet-union-and-atomic-energy-1939-1956-david-holloway,stalin-and-the-bomb-the-soviet-union-and-atomic-energy-1939-1956-david-holloway,"Stalin and the Bomb: The Soviet Union and Atomic Energy, 1939-1956",David Holloway,1994,award-los-angeles-times-book-prize-for-history,Los Angeles Times Book Prize,History,1995,finalist,finalist,false,History,Yale University Press,Yale University Press,9780300060560,https://en.wikipedia.org/wiki/Los_Angeles_Times_Book_Prize_for_History,secondary
appearance-an-anthropologist-on-mars-seven-paradoxical-tales-oliver-sacks-los-angeles-times-book-prize-for-science-and-technology-1995-finalist,book-an-anthropologist-on-mars-seven-paradoxical-tales-oliver-sacks,an-anthropologist-on-mars-seven-paradoxical-tales-oliver-sacks,An Anthropologist on Mars: Seven Paradoxical Tales,Oliver Sacks,1995,award-los-angeles-times-book-prize-for-science-and-technology,Los Angeles Times Book Prize,Science and Technology,1995,finalist,finalist,false,Medicine & Public Health,Penguin Random House,Knopf,9780394280943,https://en.wikipedia.org/wiki/Los_Angeles_Times_Book_Prize_for_Science_and_Technology,secondary
appearance-descartes-error-emotion-reason-and-the-human-brain-antonio-r-damasio-los-angeles-times-book-prize-for-science-and-technology-1995-finalist,book-descartes-error-emotion-reason-and-the-human-brain-antonio-r-damasio,descartes-error-emotion-reason-and-the-human-brain-antonio-r-damasio,"Descartes’ Error: Emotion, Reason, and the Human Brain",Antonio R. Damasio,,award-los-angeles-times-book-prize-for-science-and-technology,Los Angeles Times Book Prize,Science and Technology,1995,finalist,finalist,false,Science,Penguin Random House,Vintage Books,9780099501640,https://en.wikipedia.org/wiki/Los_Angeles_Times_Book_Prize_for_Science_and_Technology,secondary
appearance-naturalist-edward-o-wilson-los-angeles-times-book-prize-for-science-and-technology-1995-winner,book-naturalist-edward-o-wilson,naturalist-edward-o-wilson,Naturalist,Edward O. Wilson,1994,award-los-angeles-times-book-prize-for-science-and-technology,Los Angeles Times Book Prize,Science and Technology,1995,winner,winner,false,Memoir & Autobiography,Island Press,Island Press,9781597260886,https://en.wikipedia.org/wiki/Los_Angeles_Times_Book_Prize_for_Science_and_Technology,secondary
appearance-the-alchemy-of-the-heavens-searching-for-meaning-in-the-milky-way-ken-croswell-los-angeles-times-book-prize-for-science-and-technology-1995-finalist,book-the-alchemy-of-the-heavens-searching-for-meaning-in-the-milky-way-ken-croswell,the-alchemy-of-the-heavens-searching-for-meaning-in-the-milky-way-ken-croswell,The Alchemy of the Heavens: Searching for Meaning in the Milky Way,Ken Croswell,1996,award-los-angeles-times-book-prize-for-science-and-technology,Los Angeles Times Book Prize,Science and Technology,1995,finalist,finalist,false,Science,Penguin Random House,Anchor,9780385472142,https://en.wikipedia.org/wiki/Los_Angeles_Times_Book_Prize_for_Science_and_Technology,secondary
appearance-the-moral-animal-why-we-are-the-way-we-are-the-new-science-of-evolutionary-psychology-robert-wri-los-angeles-times-book-prize-for-science-and-technology-1995-finalist,book-the-moral-animal-why-we-are-the-way-we-are-the-new-science-of-evolutionary-psychology-robert-wri,the-moral-animal-why-we-are-the-way-we-are-the-new-science-of-evolutionary-psychology-robert-wri,The Moral Animal: Why We Are the Way We Are -- The New Science of Evolutionary Psychology,Robert Wright,,award-los-angeles-times-book-prize-for-science-and-technology,Los Angeles Times Book Prize,Science and Technology,1995,finalist,finalist,false,Science,,,,https://en.wikipedia.org/wiki/Los_Angeles_Times_Book_Prize_for_Science_and_Technology,secondary
appearance-the-psychiatric-persuasion-knowledge-gender-and-power-in-modern-america-elizabeth-lunbeck-margaret-w-rossiter-history-of-women-in-science-prize-1995-winner,book-the-psychiatric-persuasion-knowledge-gender-and-power-in-modern-america-elizabeth-lunbeck,the-psychiatric-persuasion-knowledge-gender-and-power-in-modern-america-elizabeth-lunbeck,"The Psychiatric Persuasion: Knowledge, Gender, and Power in Modern America",Elizabeth Lunbeck,1994,award-margaret-w-rossiter-history-of-women-in-science-prize,Margaret W. Rossiter History of Women in Science Prize,History of Women in Science,1995,winner,winner,false,Gender & Sexuality,,,9780691048048,https://en.wikipedia.org/wiki/Margaret_W._Rossiter_History_of_Women_in_Science_Prize,secondary
appearance-a-civil-action-jonathan-harr-national-book-award-for-nonfiction-1995-finalist,book-a-civil-action-jonathan-harr,a-civil-action-jonathan-harr,A Civil Action,Jonathan Harr,1995,award-national-book-award-for-nonfiction,National Book Awards,Nonfiction,1995,finalist,finalist,false,True Crime & Justice,Penguin Random House,Random House,9780394563497,https://en.wikipedia.org/wiki/National_Book_Award_for_Nonfiction,secondary
appearance-darwin-s-dangerous-idea-evolution-and-the-meaning-of-life-daniel-c-dennett-national-book-award-for-nonfiction-1995-finalist,book-darwin-s-dangerous-idea-evolution-and-the-meaning-of-life-daniel-c-dennett,darwin-s-dangerous-idea-evolution-and-the-meaning-of-life-daniel-c-dennett,Darwin's Dangerous Idea: Evolution and the Meaning of Life,Daniel C. Dennett,,award-national-book-award-for-nonfiction,National Book Awards,Nonfiction,1995,finalist,finalist,false,Science,Simon & Schuster,Simon & Schuster,9780670869572,https://en.wikipedia.org/wiki/National_Book_Award_for_Nonfiction,secondary
appearance-ghosts-of-mississippi-maryanne-vollers-national-book-award-for-nonfiction-1995-finalist,book-ghosts-of-mississippi-maryanne-vollers,ghosts-of-mississippi-maryanne-vollers,Ghosts of Mississippi,Maryanne Vollers,1995,award-national-book-award-for-nonfiction,National Book Awards,Nonfiction,1995,finalist,finalist,false,True Crime & Justice,Hachette Book Group,"Little, Brown",9780316914710,https://en.wikipedia.org/wiki/National_Book_Award_for_Nonfiction,secondary
appearance-salvation-on-sand-mountain-snake-handling-and-redemption-in-southern-appalachia-dennis-covington-national-book-award-for-nonfiction-1995-finalist,book-salvation-on-sand-mountain-snake-handling-and-redemption-in-southern-appalachia-dennis-covington,salvation-on-sand-mountain-snake-handling-and-redemption-in-southern-appalachia-dennis-covington,Salvation on Sand Mountain: Snake Handling and Redemption in Southern Appalachia,Dennis Covington,1996,award-national-book-award-for-nonfiction,National Book Awards,Nonfiction,1995,finalist,finalist,false,Religion,,,9780140254587,https://en.wikipedia.org/wiki/National_Book_Award_for_Nonfiction,secondary
appearance-the-haunted-land-facing-europe-s-ghosts-after-communism-tina-rosenberg-national-book-award-for-nonfiction-1995-winner,book-the-haunted-land-facing-europe-s-ghosts-after-communism-tina-rosenberg,the-haunted-land-facing-europe-s-ghosts-after-communism-tina-rosenberg,The Haunted Land: Facing Europe's Ghosts After Communism,Tina Rosenberg,1995,award-national-book-award-for-nonfiction,National Book Awards,Nonfiction,1995,winner,winner,false,Politics & Government,Penguin Random House,Random House,9780679744993,https://en.wikipedia.org/wiki/National_Book_Award_for_Nonfiction,secondary
appearance-emerson-the-mind-on-fire-robert-richardson-jr-national-book-critics-circle-award-for-biography-1995-finalist,book-emerson-the-mind-on-fire-robert-d-richardson-jr,emerson-the-mind-on-fire-robert-d-richardson-jr,Emerson: The Mind on Fire,"Robert D. Richardson, Jr.",1995,award-national-book-critics-circle-award-for-biography,National Book Critics Circle Awards,Biography,1995,finalist,finalist,false,Memoir & Autobiography,University of California Press,University of California Press,9780520088085,https://en.wikipedia.org/wiki/National_Book_Critics_Circle_Award_for_Biography,secondary
appearance-moving-violations-war-zones-wheelchairs-and-declarations-of-independence-john-hockenberry-national-book-critics-circle-award-for-biography-1995-finalist,book-moving-violations-war-zones-wheelchairs-and-declarations-of-independence-john-hockenberry,moving-violations-war-zones-wheelchairs-and-declarations-of-independence-john-hockenberry,"Moving Violations: War Zones, Wheelchairs and Declarations of Independence",John Hockenberry,1996,award-national-book-critics-circle-award-for-biography,National Book Critics Circle Awards,Biography,1995,finalist,finalist,false,Memoir & Autobiography,,,9780786881628,https://en.wikipedia.org/wiki/National_Book_Critics_Circle_Award_for_Biography,secondary
appearance-savage-art-a-biography-of-jim-thompson-robert-polito-national-book-critics-circle-award-for-biography-1995-winner,book-savage-art-a-biography-of-jim-thompson-robert-polito,savage-art-a-biography-of-jim-thompson-robert-polito,Savage Art: A Biography of Jim Thompson,Robert Polito,1995,award-national-book-critics-circle-award-for-biography,National Book Critics Circle Awards,Biography,1995,winner,winner,false,Biography,Penguin Random House,Vintage Books,9780679733522,https://en.wikipedia.org/wiki/National_Book_Critics_Circle_Award_for_Biography,secondary
appearance-the-liars-club-mary-karr-national-book-critics-circle-award-for-biography-1995-finalist,book-the-liars-club-mary-karr,the-liars-club-mary-karr,The Liars’ Club,Mary Karr,1995,award-national-book-critics-circle-award-for-biography,National Book Critics Circle Awards,Biography,1995,finalist,finalist,false,Memoir & Autobiography,Penguin Random House,Viking,9780670850532,https://en.wikipedia.org/wiki/National_Book_Critics_Circle_Award_for_Biography,secondary
appearance-walt-whitman-s-america-a-cultural-biography-david-s-reynolds-national-book-critics-circle-award-for-biography-1995-finalist,book-walt-whitman-s-america-a-cultural-biography-david-s-reynolds,walt-whitman-s-america-a-cultural-biography-david-s-reynolds,Walt Whitman's America: A Cultural Biography,David S. Reynolds,1995,award-national-book-critics-circle-award-for-biography,National Book Critics Circle Awards,Biography,1995,finalist,finalist,false,Biography,Penguin Random House,Knopf,9780679767091,https://en.wikipedia.org/wiki/National_Book_Critics_Circle_Award_for_Biography,secondary
appearance-the-forbidden-best-sellers-of-pre-revolutionary-france-robert-darnton-national-book-critics-circle-award-for-criticism-1995-winner,book-the-forbidden-best-sellers-of-pre-revolutionary-france-robert-darnton,the-forbidden-best-sellers-of-pre-revolutionary-france-robert-darnton,The Forbidden Best-Sellers of Pre-Revolutionary France,Robert Darnton,1995,award-national-book-critics-circle-award-for-criticism,National Book Critics Circle Awards,Criticism,1995,winner,winner,false,World History,HarperCollins,Fontana,9780002558358,https://en.wikipedia.org/wiki/National_Book_Critics_Circle_Award_for_Criticism,secondary
appearance-a-civil-action-jonathan-harr-national-book-critics-circle-award-for-nonfiction-1995-winner,book-a-civil-action-jonathan-harr,a-civil-action-jonathan-harr,A Civil Action,Jonathan Harr,1995,award-national-book-critics-circle-award-for-nonfiction,National Book Critics Circle Awards,Nonfiction,1995,winner,winner,false,True Crime & Justice,Penguin Random House,Random House,9780394563497,https://en.wikipedia.org/wiki/National_Book_Critics_Circle_Award_for_Nonfiction,secondary
appearance-a-gentle-madness-bibliophiles-bibliomanes-and-the-eternal-passion-for-books-nicholas-basbanes-national-book-critics-circle-award-for-nonfiction-1995-finalist,book-a-gentle-madness-bibliophiles-bibliomanes-and-the-eternal-passion-for-books-nicholas-basbanes,a-gentle-madness-bibliophiles-bibliomanes-and-the-eternal-passion-for-books-nicholas-basbanes,"A Gentle Madness: Bibliophiles, Bibliomanes, and the Eternal Passion for Books",Nicholas Basbanes,1995,award-national-book-critics-circle-award-for-nonfiction,National Book Critics Circle Awards,Nonfiction,1995,finalist,finalist,false,Society & Culture,Macmillan,Henry Holt and Company,9780805048261,https://en.wikipedia.org/wiki/National_Book_Critics_Circle_Award_for_Nonfiction,secondary
appearance-all-god-s-children-the-bosket-family-and-the-american-tradition-of-violence-fox-butterfield-national-book-critics-circle-award-for-nonfiction-1995-finalist,book-all-god-s-children-the-bosket-family-and-the-american-tradition-of-violence-fox-butterfield,all-god-s-children-the-bosket-family-and-the-american-tradition-of-violence-fox-butterfield,All God’s Children: The Bosket Family and the American Tradition of Violence,Fox Butterfield,1995,award-national-book-critics-circle-award-for-nonfiction,National Book Critics Circle Awards,Nonfiction,1995,finalist,finalist,false,Race & Ethnicity,Penguin Random House,Knopf,9780394582863,https://en.wikipedia.org/wiki/National_Book_Critics_Circle_Award_for_Nonfiction,secondary
